,elec_tra,elec_tes,elec
38983,3284.0227,,3422.0
38984,3911.234,,4090.0
38985,4554.5444,,4616.0
38986,4856.4395,,4848.0
38987,4960.9097,,4965.0
38988,4922.9663,,4917.0
38989,5001.0415,,5040.0
38990,5099.288,,5096.0
38991,5063.721,,5078.0
38992,5013.057,,4975.0
38993,4897.9575,,4699.0
38994,4563.038,,4587.0
38995,4405.3516,,4347.0
38996,4091.3699,,4074.0002
38997,3850.6387,,3818.9998
38998,3599.7205,,3617.0
38999,3396.7324,,3363.0
39000,3131.3655,,3031.0
39001,2838.484,,2791.0
39002,2693.384,,2685.0
39003,2693.345,,2637.0
39004,2645.201,,2625.0
39005,2748.0466,,2624.0
39006,2905.6287,,2675.0
39007,2962.2644,,2878.0
39008,3260.5588,,3154.0
39009,3449.6272,,3402.0
39010,3513.5068,,3488.0
39011,3503.351,,3538.0
39012,3516.5007,,3497.0
39013,3504.592,,3444.0
39014,3407.4846,,3406.0
39015,3353.919,,3375.0
39016,3387.6912,,3372.0
39017,3407.1548,,3430.0
39018,3493.326,,3515.0
39019,3559.3848,,3405.0
39020,3312.8337,,3256.0
39021,3096.4521,,3076.0
39022,2876.629,,2915.0
39023,2738.805,,2756.0
39024,2549.214,,2530.0
39025,2396.8167,,2374.0
39026,2333.5764,,2312.0
39027,2322.3328,,2320.0
39028,2327.0083,,2333.0
39029,2356.6458,,2336.0
39030,2463.737,,2334.0
39031,2468.594,,2463.0
39032,2732.1821,,2710.0
39033,2956.4346,,2972.0
39034,3118.9524,,3134.0
39035,3222.4485,,3189.0
39036,3207.7896,,3203.0
39037,3243.7979,,3214.0
39038,3205.6775,,3230.0
39039,3218.9524,,3234.0
39040,3246.189,,3291.0
39041,3378.123,,3382.0
39042,3479.3508,,3403.0
39043,3419.3767,,3283.0
39044,3167.7366,,3125.0
39045,2966.904,,2932.0
39046,2741.0522,,2766.0
39047,2595.7249,,2626.0
39048,2459.6504,,2440.0
39049,2354.6123,,2296.0
39050,2265.3286,,2243.0
39051,2246.6506,,2266.0
39052,2274.066,,2325.0
39053,2362.1655,,2418.0
39054,2577.8018,,2595.0
39055,2834.368,,2880.0
39056,3225.6787,,3287.0
39057,3579.403,,3587.0
39058,3653.6687,,3772.0
39059,3831.6614,,3923.0
39060,3880.0664,,3874.0
39061,3940.9165,,4006.0
39062,4032.4473,,4029.0
39063,4039.3877,,4004.0
39064,3972.9307,,3977.9998
39065,3851.7314,,3856.9998
39066,3795.6794,,3791.0
39067,3671.1646,,3584.0
39068,3354.0476,,3364.0
39069,3143.6702,,3159.0
39070,2979.2515,,3012.0
39071,2856.8633,,2847.0
39072,2632.4075,,2616.0
39073,2498.987,,2454.0
39074,2409.4246,,2404.0
39075,2427.9456,,2418.0
39076,2422.7053,,2451.0
39077,2572.7124,,2506.0
39078,2709.7883,,2634.0
39079,2935.858,,2927.0
39080,3287.1086,,3349.0
39081,3612.7463,,3656.0
39082,3767.7583,,3826.0
39083,3842.9294,,3943.0
39084,3938.9695,,3885.9998
39085,3982.201,,4050.0
39086,4042.6753,,4038.0
39087,4000.7842,,3908.0
39088,3864.253,,3883.9998
39089,3782.9353,,3824.0
39090,3777.166,,3797.0
39091,3706.6968,,3609.0
39092,3419.7366,,3401.0
39093,3207.7102,,3186.0
39094,3006.5168,,3033.0
39095,2826.672,,2859.0
39096,2632.3054,,2617.0
39097,2500.2046,,2455.0
39098,2414.6846,,2399.0
39099,2423.5042,,2408.0
39100,2411.4573,,2436.0
39101,2493.718,,2481.0
39102,2670.2605,,2597.0
39103,2831.4543,,2885.0
39104,3247.2983,,3308.0
39105,3632.4375,,3634.0
39106,3770.846,,3732.0
39107,3791.2783,,3789.0
39108,3716.994,,3641.0
39109,3725.215,,3812.0
39110,3889.2,,3881.9998
39111,3866.7527,,3913.0002
39112,3954.421,,3921.0002
39113,3921.4956,,3830.0
39114,3814.4077,,3782.9998
39115,3656.417,,3606.0
39116,3397.5288,,3412.0
39117,3225.3445,,3211.0
39118,3057.38,,3077.0
39119,2962.9375,,2899.0
39120,2712.673,,2665.0
39121,2535.9746,,2500.0
39122,2434.6206,,2441.0
39123,2454.4343,,2445.0
39124,2444.3152,,2474.0
39125,2537.3132,,2527.0
39126,2721.3318,,2667.0
39127,2917.3103,,2971.0
39128,3338.607,,3399.0
39129,3722.6687,,3830.0
39130,4018.5073,,4000.9998
39131,4094.4207,,4115.0
39132,4077.3535,,3929.0
39133,4014.6013,,4048.0
39134,4100.0,,4081.0
39135,4023.6667,,4123.0
39136,4140.9224,,4101.0
39137,4060.3604,,4017.9998
39138,4037.9463,,3996.0
39139,3915.43,,3828.0
39140,3642.0608,,3625.0
39141,3406.985,,3418.0
39142,3246.9292,,3272.0
39143,3131.6604,,3089.0
39144,2885.5076,,2848.0
39145,2695.64,,2669.0
39146,2602.3203,,2600.0
39147,2607.285,,2607.0
39148,2620.6794,,2637.0
39149,2720.536,,2708.0
39150,2939.703,,2891.0
39151,3176.9875,,3283.0
39152,3701.178,,3835.9998
39153,4221.1836,,4292.0
39154,4460.675,,4517.0
39155,4604.5415,,4652.0
39156,4602.3584,,4662.0
39157,4780.845,,4823.0
39158,4860.735,,4822.0
39159,4797.4014,,4686.0
39160,4550.191,,4636.0
39161,4503.91,,4458.0
39162,4385.0156,,4369.0
39163,4184.9307,,4154.0
39164,3949.979,,3914.0
39165,3737.5378,,3674.0
39166,3469.168,,3499.0
39167,3270.253,,3285.0
39168,3056.7273,,2977.0
39169,2811.5542,,2756.0
39170,2666.0347,,2632.0
39171,2615.9116,,2609.0
39172,2619.7727,,2606.0
39173,2707.537,,2602.0
39174,2853.1982,,2638.0
39175,2889.7358,,2802.0
39176,3153.9714,,3063.0
39177,3336.9392,,3294.0
39178,3393.929,,3444.0
39179,3494.075,,3440.0
39180,3398.7437,,3409.0
39181,3423.873,,3443.0
39182,3436.2764,,3381.0
39183,3329.7632,,3337.0
39184,3315.609,,3326.0
39185,3359.8572,,3346.0
39186,3392.806,,3342.0
39187,3317.7905,,3220.0
39188,3106.5325,,3079.0
39189,2939.7954,,2906.0
39190,2747.6528,,2770.0
39191,2582.5435,,2636.0
39192,2515.0547,,2453.0
39193,2374.9148,,2305.0
39194,2234.965,,2239.0
39195,2220.0203,,2256.0
39196,2259.2317,,2267.0
39197,2287.7437,,2267.0
39198,2345.221,,2268.0
39199,2455.0706,,2392.0
39200,2600.2756,,2545.0
39201,2667.8914,,2717.0
39202,2812.454,,2778.0
39203,2813.3206,,2792.0
39204,2795.528,,2751.0
39205,2731.9165,,2708.0
39206,2673.577,,2708.0
39207,2701.3652,,2764.0
39208,2840.8254,,2831.0
39209,2929.62,,2989.0
39210,3142.8445,,3064.0
39211,3066.6418,,2996.0
39212,2934.7866,,2886.0
39213,2725.965,,2743.0
39214,2625.6807,,2611.0
39215,2455.9348,,2495.0
39216,2375.0737,,2320.0
39217,2274.8013,,2195.0
39218,2152.1624,,2161.0
39219,2172.1658,,2191.0
39220,2206.3054,,2222.0
39221,2283.6543,,2259.0
39222,2392.8735,,2312.0
39223,2439.917,,2446.0
39224,2686.377,,2648.0
39225,2832.3953,,2807.0
39226,2854.5925,,2843.0
39227,2896.853,,2870.0
39228,2802.7722,,2883.0
39229,2985.3381,,2931.0
39230,2975.9312,,3014.0
39231,2986.822,,3069.0
39232,3096.6953,,3080.0
39233,3087.1511,,3111.0
39234,3026.347,,3170.0
39235,3103.1455,,3074.0
39236,2988.0352,,2946.0
39237,2827.332,,2798.0
39238,2749.1099,,2675.0
39239,2590.9978,,2549.0
39240,2407.8562,,2360.0
39241,2205.5144,,2226.0
39242,2160.9934,,2193.0
39243,2243.3555,,2213.0
39244,2209.3442,,2242.0
39245,2241.4375,,2251.0
39246,2334.3992,,2245.0
39247,2344.5671,,2395.0
39248,2646.9268,,2713.0
39249,2989.1482,,2991.0
39250,3133.791,,3125.0
39251,3234.6343,,3161.0
39252,3096.0417,,3169.0
39253,3131.4885,,3209.0
39254,3207.7773,,3164.0
39255,3101.1182,,3101.0
39256,3088.7097,,3140.0
