,elec_tra,elec_tes,elec,HAZURE
24802,4188.8857,,4246,0
24803,4064.5286,,4137,0
24804,3837.278,,3915.0002,0
24805,3970.6982,,4013.0002,0
24806,3971.7644,,4004,0
24807,3973.3167,,4044.9998,0
24808,4158.2544,,4249,0
24809,4353.7783,,4547,1
24810,4583.042,,4597,1
24811,4470.2812,,4496,0
24812,4319.93,,4384,0
24813,4171.532,,4205,0
24814,3946.4297,,3973.9998,0
24815,3678.6829,,3708,1
24816,3383.3796,,3400,1
24817,3193.4553,,3249,1
24818,3140.5933,,3176,1
24819,3104.0337,,3146,1
24820,3157.6807,,3195,0
24821,3415.1829,,3422,0
24822,3833.935,,3952,0
24823,4269.5054,,4310,1
24824,4510.9937,,4531,1
24825,4519.5063,,4533,1
24826,4314.8364,,4375,0
24827,4149.3677,,4256,0
24828,3968.3704,,3971,0
24829,4000.2593,,3986.0002,0
24830,3900.368,,3954.9998,0
24831,3913.8083,,3935,0
24832,4045.8945,,4094,0
24833,4258.268,,4374,0
24834,4405.7754,,4425,0
24835,4309.8867,,4362,0
24836,4225.392,,4265,0
24837,4070.217,,4101,0
24838,3882.7979,,3890.0002,0
24839,3607.124,,3626,1
24840,3321.852,,3340,1
24841,3133.9768,,3188,1
24842,3078.741,,3116,1
24843,3046.391,,3078,1
24844,3072.419,,3122,0
24845,3291.7012,,3357,0
24846,3747.8313,,3872,0
24847,4185.4194,,4264,1
24848,4511.0903,,4662,1
24849,4788.9736,,4838,1
24850,4738.6772,,4701,1
24851,4547.957,,4538,0
24852,4267.2217,,4219,0
24853,4258.0195,,4245,0
24854,4140.416,,4203,0
24855,4139.467,,4182,0
24856,4282.9883,,4349,0
24857,4510.6714,,4498,0
24858,4496.5527,,4510,0
24859,4362.8804,,4445,0
24860,4277.704,,4372,0
24861,4164.3745,,4246,0
24862,4008.3687,,4053.0002,0
24863,3767.858,,3780.9998,1
24864,3464.902,,3450,1
24865,3213.995,,3265,1
24866,3107.618,,3184,1
24867,3082.9045,,3145,1
24868,3117.3071,,3182,0
24869,3340.9612,,3431,0
24870,3882.3535,,3952.9998,0
24871,4272.125,,4290,0
24872,4496.4663,,4505,1
24873,4516.373,,4572,1
24874,4384.743,,4406,0
24875,4207.756,,4246,0
24876,3929.7444,,3952,0
24877,3983.0688,,3998.9998,0
24878,3936.2083,,3975,0
24879,3929.4668,,4019.9998,0
24880,4191.9956,,4255,0
24881,4470.16,,4569,1
24882,4644.2046,,4626,1
24883,4492.6885,,4546,0
24884,4370.7866,,4432,0
24885,4213.818,,4277,0
24886,4015.358,,4086.9998,0
24887,3810.6543,,3879.9998,0
24888,3546.9128,,3614,1
24889,3367.6172,,3389,1
24890,3237.238,,3262,1
24891,3147.0417,,3174,1
24892,3107.8242,,3159,1
24893,3209.2393,,3252,0
24894,3497.8813,,3533,0
24895,3824.9578,,3789,0
24896,3881.6038,,3950.9998,0
24897,3985.0286,,3892.0002,0
24898,3665.1475,,3708,0
24899,3494.8457,,3546,0
24900,3361.684,,3367,0
24901,3291.7156,,3314,0
24902,3218.1206,,3258,0
24903,3259.0837,,3276,0
24904,3471.445,,3428,0
24905,3675.9949,,3758,0
24906,3908.6692,,3883,0
24907,3801.6628,,3854,0
24908,3752.922,,3799,0
24909,3656.8018,,3656,0
24910,3473.0156,,3467,0
24911,3247.5107,,3278,1
24912,3039.842,,3070,1
24913,2911.7715,,2939,1
24914,2859.0713,,2869,1
24915,2819.9448,,2829,1
24916,2810.1445,,2823,1
24917,2848.358,,2891,0
24918,3031.327,,3087,0
24919,3236.1277,,3274,0
24920,3411.7073,,3396,0
24921,3362.586,,3367,0
24922,3206.5425,,3234,0
24923,3091.9126,,3108,0
24924,2985.9346,,3032,0
24925,2953.787,,3008,0
24926,2944.1726,,3002,0
24927,3052.1147,,3007,0
24928,3128.6187,,3165,0
24929,3358.8784,,3534,1
24930,3650.9832,,3654,1
24931,3615.0088,,3633,1
24932,3531.7312,,3581,0
24933,3407.4941,,3429,0
24934,3217.0059,,3193,0
24935,2961.076,,2972,1
24936,2751.4216,,2752,1
24937,2628.5007,,2642,1
24938,2578.2727,,2606,1
24939,2561.9617,,2604,1
24940,2614.902,,2632,0
24941,2763.914,,2783,0
24942,3055.5234,,3156,0
24943,3408.4985,,3443,1
24944,3673.3945,,3657,1
24945,3724.2988,,3700,1
24946,3590.3313,,3605,0
24947,3469.4492,,3513,0
24948,3326.8953,,3307,0
24949,3348.4707,,3397,0
24950,3361.3855,,3401,0
24951,3404.8032,,3423,0
24952,3500.555,,3585,0
24953,3682.6045,,3844.0002,1
24954,3863.0935,,3920,1
24955,3809.383,,3854,0
24956,3711.254,,3770.9998,0
24957,3599.137,,3646,0
24958,3433.3655,,3496,0
24959,3273.749,,3271,0
24960,2987.61,,3027,1
24961,2842.1223,,2909,1
24962,2818.3965,,2862,1
24963,2800.9802,,2845,1
24964,2823.5452,,2884,0
24965,3028.729,,3073,0
24966,3413.1777,,3506,0
24967,3730.3806,,3860,1
24968,4107.067,,4173,1
24969,4263.927,,4288,1
24970,4137.288,,4220,1
24971,4094.9927,,4125,0
24972,3867.6653,,3881.9998,0
24973,3945.0989,,3985,0
24974,3920.5974,,3987,0
24975,3961.9028,,3992,0
24976,4046.8406,,4140,0
24977,4192.205,,4329,0
24978,4332.443,,4346,0
24979,4210.7256,,4231,0
24980,4069.3171,,4099,0
24981,3884.7104,,3920,0
24982,3686.5564,,3707,0
24983,3415.0098,,3428,1
24984,3126.0864,,3138,1
24985,2941.8728,,2991,1
24986,2891.5159,,2937,1
24987,2878.5789,,2905,1
24988,2893.3584,,2940,0
24989,3077.4336,,3124,0
24990,3483.8596,,3538,0
24991,3808.6272,,3916,0
24992,4218.733,,4308,1
24993,4484.55,,4555,1
24994,4496.52,,4557,1
24995,4467.1743,,4528,0
24996,4323.409,,4325,0
24997,4331.719,,4403,0
24998,4338.3203,,4350,0
24999,4246.679,,4239,0
25000,4171.355,,4213,0
25001,4138.293,,4350,0
25002,4379.5933,,4393,0
25003,4220.955,,4306,0
25004,4120.427,,4188,0
25005,3974.2402,,4014,0
25006,3782.4883,,3809,0
25007,3506.6409,,3530,1
25008,3201.862,,3237,1
25009,3009.0398,,3080,1
25010,2959.4988,,3015,1
25011,2945.3652,,2993,1
25012,2985.9749,,3038,0
25013,3200.7278,,3272,0
25014,3678.6626,,3730,0
25015,4010.4805,,3981,0
25016,4119.8096,,4209,0
25017,4220.669,,4309,1
25018,4195.9385,,4163,0
25019,4020.7954,,4000.9998,0
25020,3702.4077,,3691,0
25021,3724.1462,,3750,0
25022,3689.1836,,3702,0
25023,3647.1687,,3623,0
25024,3669.7107,,3732,0
25025,3931.534,,3973.9998,0
25026,4136.325,,4016,0
25027,3861.4248,,3915.0002,0
25028,3759.9734,,3793.9998,0
25029,3601.2966,,3630,0
25030,3431.506,,3458,1
25031,3174.8616,,3210,1
25032,2982.7869,,2968,1
25033,2818.5352,,2867,1
25034,2802.9487,,2839,1
25035,2807.2456,,2847,1
25036,2876.9233,,2906,0
25037,3063.7024,,3114,0
25038,3338.9495,,3550,0
25039,3901.629,,3843,1
25040,3960.3938,,4077,1
25041,4065.4902,,4192,1
25042,4092.055,,4206,1
25043,4085.509,,4197,0
25044,3968.673,,3985,0
25045,4058.5725,,4147,0
25046,4113.37,,4140,0
25047,4087.7004,,4137,0
25048,4133.9927,,4272,0
25049,4235.272,,4496,1
25050,4476.3623,,4520,1
25051,4382.5063,,4429,0
25052,4252.633,,4317,0
25053,4112.87,,4159,0
25054,3915.489,,3970,0
25055,3692.3167,,3721,0
25056,3366.6187,,3433,1
25057,3176.5593,,3255,1
25058,3117.3628,,3151,1
25059,3050.0352,,3071,1
25060,3021.9502,,3045,1
25061,3102.9634,,3134,0
25062,3375.9685,,3424,0
