,elec_tra,elec_tes,elec
12170,2324.8264,,2344.0
12171,2341.3933,,2339.0
12172,2354.308,,2375.0
12173,2410.9004,,2429.0
12174,2553.164,,2638.0
12175,2939.6436,,3050.0
12176,3502.8809,,3596.0
12177,4063.869,,4039.0
12178,4225.9673,,4220.0
12179,4302.1416,,4324.0
12180,4260.999,,4235.0
12181,4324.1943,,4411.0
12182,4452.853,,4479.0
12183,4484.0093,,4448.0
12184,4427.5654,,4393.0
12185,4284.3853,,4239.0
12186,4157.2075,,4226.0
12187,4096.8477,,4071.9998
12188,3822.908,,3835.0
12189,3554.6348,,3605.0
12190,3366.8723,,3452.0
12191,3230.6003,,3229.0
12192,2886.296,,2944.0
12193,2692.5837,,2743.0
12194,2588.3887,,2648.0
12195,2626.562,,2617.0
12196,2608.5337,,2619.0
12197,2610.093,,2651.0
12198,2787.4373,,2834.0
12199,3141.1187,,3255.0
12200,3740.697,,3854.0
12201,4382.463,,4327.0
12202,4558.58,,4475.0
12203,4525.559,,4635.0
12204,4557.46,,4610.0
12205,4711.9976,,4802.0
12206,4870.7695,,4741.0
12207,4708.6104,,4636.0
12208,4616.964,,4602.0
12209,4473.4478,,4502.0
12210,4458.137,,4501.0
12211,4402.835,,4348.0
12212,4104.0103,,4116.0
12213,3862.3215,,3860.0
12214,3615.161,,3666.0
12215,3342.5088,,3404.0
12216,3094.4888,,3077.0
12217,2840.8916,,2865.0
12218,2733.629,,2752.0
12219,2705.4158,,2706.0
12220,2676.3447,,2697.0
12221,2683.105,,2715.0
12222,2896.7244,,2953.0
12223,3347.1892,,3418.0
12224,4012.4233,,4117.0
12225,4703.6685,,4680.0
12226,4926.8457,,4900.0
12227,5058.326,,4947.0
12228,4872.4595,,4863.0
12229,5055.9565,,4996.0
12230,5054.153,,4949.0
12231,4953.397,,4916.0
12232,4867.0195,,4881.0
12233,4738.278,,4694.0
12234,4599.352,,4700.0
12235,4593.288,,4552.0
12236,4285.788,,4305.0
12237,4037.6934,,4048.9998
12238,3786.573,,3864.0
12239,3547.5369,,3567.0
12240,3192.8562,,3231.0
12241,2970.8489,,2993.0
12242,2831.8823,,2856.0
12243,2796.7395,,2808.0
12244,2762.5662,,2800.0
12245,2801.3743,,2825.0
12246,3042.1953,,3053.0
12247,3456.2197,,3482.0
12248,4045.8708,,3996.9998
12249,4421.9746,,4477.0
12250,4673.738,,4791.0
12251,4944.477,,5048.0
