,elec_tra,elec_tes,elec,HAZURE
339,78402.086,,82490,0
340,82093.836,,87653,0
341,85784.73,,87640,0
342,84387.45,,85194,0
343,80199.26,,83360,0
344,73967.95,,77220,0
345,70661.5,,72440,1
346,79055.8,,83567,0
347,83805.54,,86229,0
348,84605.88,,90074,1
349,85168.94,,84525,0
350,78732.74,,82605,0
351,75917.17,,74363,1
352,66573.5,,67726,1
353,72322.76,,69869,1
354,73414.4,,82730,0
355,82268.42,,80740,0
356,79141.984,,81469,0
357,79008.89,,81629,0
358,77670.5,,76045,0
359,68853.59,,76906,0
360,77324.55,,89772,1
361,93188.81,,84822,0
362,79955.516,,81411,0
363,82505.734,,77344,0
364,76311.41,,81840,0
365,74776.734,,79382,0
366,75771.47,,70068,1
367,73367.04,,77643,0
368,77722.875,,77227,0
369,74264.01,,74060,0
370,73031.43,,72748,0
371,73732.52,,72436,0
372,70783.11,,67690,1
373,61860.035,,64520,1
374,70218.7,,73518,0
375,74641.875,,83935,1
376,78790.914,,74490,0
377,71829.85,,74713,0
378,75373.92,,72869,0
379,66354.85,,65658,1
380,60798.953,,61353,1
381,70338.63,,69719,0
382,74317.83,,72154,0
383,71810.38,,71217,0
384,69870.875,,70973,0
385,72552.18,,71058,0
386,64229.977,,66202,0
387,63218.406,,61999,1
388,69822.99,,70135,0
389,72355.51,,71205,0
390,72241.85,,71409,0
391,70856.69,,71005,0
392,69287.414,,69419,0
393,63821.67,,62669,1
394,59702.883,,59242,1
395,65957.88,,65733,0
396,68691.4,,64196,0
397,65132.39,,58081.004,1
398,59750.203,,56785.996,1
399,60722.05,,57024,1
400,55852.38,,59206,0
401,58476.383,,58563,0
402,65435.516,,68647,0
403,70233.266,,69578,0
404,67450.22,,70920,0
405,67876.305,,72374,1
406,72747.01,,73074,0
407,71911.48,,66410,0
408,68139.09,,59751,1
409,67463.34,,69092,0
410,69393.08,,70155,0
411,68315.96,,69790,0
412,67554.414,,70607,0
413,69461.53,,71191,0
414,66365.95,,66583,0
415,61791.93,,64325,0
416,70023.93,,74187,1
417,75284.21,,74634,1
418,73519.164,,73440,0
419,72757.08,,73281,0
420,71366.29,,72159,0
421,66709.67,,65374,0
422,64110.85,,61311.996,1
423,65720.49,,71253,0
424,70925.71,,75927,1
425,76490.61,,76319,1
426,75467.56,,75845,0
427,74161.03,,74423,0
428,68377.23,,65542,1
429,59549.48,,60752.996,1
430,67057.08,,70202,0
431,72291.31,,71354,0
432,71144.94,,71510,0
433,72296.83,,73408,0
434,73459.12,,74439,0
435,68722.83,,69666,0
436,65237.855,,62862.996,1
437,70832.97,,70880,0
438,72483.76,,71904,0
439,73203.445,,71817,0
440,72290.73,,73518,0
441,72085.48,,75655,1
442,68560.664,,67118,0
443,60837.18,,62047,1
444,69351.86,,72914,0
445,74168.164,,76448,1
446,75673.95,,76393,0
447,74876.914,,76605,0
448,74135.734,,78943,1
449,70003.625,,72045,0
450,64936.465,,66929,1
451,75165.15,,76050,0
452,75670.586,,77746,0
453,77716.39,,77419,0
454,75815.96,,80138,1
455,79601.3,,78759,0
