,elec_tra,elec_tes,elec
15273,4338.8755,,4167.0
15274,4046.7441,,3983.0
15275,3799.2678,,3841.9998
15276,3709.3696,,3636.0
15277,3614.4524,,3646.0
15278,3631.3472,,3606.0
15279,3672.0369,,3622.0
15280,3860.5918,,3855.0
15281,4195.681,,4094.9998
15282,4168.3643,,4097.0
15283,4035.2104,,4042.0
15284,3927.999,,3952.0
15285,3792.3254,,3809.0
15286,3642.829,,3651.0
15287,3454.0847,,3433.0
15288,3245.4036,,3174.0
15289,3054.7947,,3000.0
15290,2942.2888,,2883.0
15291,2846.0134,,2805.0
15292,2812.0737,,2789.0
15293,2854.2424,,2893.0
15294,3121.3794,,3181.0
15295,3525.5,,3482.0
15296,3807.575,,3716.0
15297,3896.5107,,3696.0
15298,3609.0422,,3544.0
15299,3429.902,,3428.0
15300,3341.5627,,3298.0
15301,3236.5408,,3240.0
15302,3218.2004,,3194.0
15303,3265.2764,,3205.0
15304,3433.726,,3434.0
15305,3796.6157,,3745.0
15306,3889.5598,,3772.0
15307,3748.423,,3733.0
15308,3644.4778,,3662.0
15309,3487.7886,,3526.0
15310,3348.0547,,3339.0
15311,3130.3389,,3158.0
15312,2983.2283,,2944.0
15313,2861.5388,,2796.0
15314,2768.9922,,2709.0
15315,2698.5369,,2645.0
15316,2678.8071,,2629.0
15317,2699.7288,,2688.0
15318,2808.949,,2888.0
15319,3132.7693,,3105.0
15320,3378.4548,,3274.0
15321,3437.456,,3237.0
15322,3163.844,,3113.0
15323,3024.6394,,3000.0
15324,2933.8457,,2941.0
15325,2896.763,,2871.0
15326,2840.3079,,2830.0
15327,2905.6436,,2855.0
15328,3057.5256,,3112.0
15329,3500.3977,,3447.0
15330,3615.833,,3511.0
15331,3507.3005,,3502.0
15332,3475.2898,,3445.0
15333,3324.643,,3342.0
15334,3185.4146,,3165.0
15335,2987.9563,,3010.0
15336,2857.8765,,2810.0
15337,2725.885,,2674.0
15338,2656.0813,,2587.0
15339,2569.1445,,2520.0
15340,2559.239,,2477.0
15341,2503.7705,,2513.0
15342,2607.6584,,2673.0
15343,2870.641,,2907.0
15344,3166.3215,,3195.0
15345,3546.6272,,3350.0
15346,3476.8616,,3371.0
15347,3338.6567,,3339.0
15348,3274.577,,3315.0
15349,3190.951,,3231.0
15350,3294.548,,3159.0
15351,3166.8794,,3145.0
15352,3185.2546,,3363.0
15353,3605.5222,,3574.0
15354,3698.316,,3589.0
15355,3589.8672,,3527.0
15356,3445.905,,3443.0
15357,3350.645,,3335.0
15358,3158.4473,,3200.0
15359,3016.1292,,3141.0
15360,3061.5674,,2962.0
15361,2907.647,,2797.0
15362,2753.3098,,2669.0
15363,2642.4287,,2586.0
15364,2572.4863,,2543.0
15365,2573.6409,,2570.0
15366,2626.4534,,2712.0
15367,2896.2302,,2880.0
15368,3078.0286,,2860.0
15369,2928.4258,,2842.0
15370,2839.9592,,2778.0
15371,2684.1306,,2638.0
15372,2555.4282,,2541.0
15373,2479.7144,,2475.0
15374,2493.9988,,2458.0
15375,2431.2666,,2495.0
15376,2548.6985,,2725.0
15377,2924.6228,,3033.0
15378,3192.4856,,3116.0
15379,3176.367,,3128.0
15380,3112.7659,,3132.0
15381,3072.0508,,3094.0
15382,2915.7827,,2972.0
15383,2898.8677,,2833.0
15384,2717.9539,,2625.0
15385,2517.4172,,2495.0
15386,2463.4175,,2434.0
15387,2396.6794,,2394.0
15388,2447.6843,,2382.0
15389,2376.5242,,2436.0
15390,2570.7188,,2603.0
15391,2792.7659,,2805.0
15392,3008.2832,,2967.0
15393,3146.7695,,2939.0
15394,2931.1543,,2828.0
15395,2767.6223,,2718.0
15396,2666.7302,,2643.0
15397,2625.7742,,2588.0
15398,2578.3455,,2570.0
15399,2670.0234,,2619.0
15400,2868.7415,,2859.0
15401,3270.8083,,3181.0
15402,3364.1008,,3272.0
15403,3273.4019,,3287.0
15404,3271.537,,3283.0
15405,3243.5217,,3220.0
15406,3125.5205,,3084.0
15407,2932.7715,,2936.0
15408,2835.4602,,2727.0
15409,2620.743,,2581.0
15410,2528.961,,2495.0
15411,2462.36,,2447.0
15412,2469.5762,,2433.0
15413,2495.7568,,2487.0
15414,2623.8386,,2667.0
15415,2921.9717,,2893.0
15416,3093.6284,,3119.0
15417,3376.8623,,3145.0
15418,3190.911,,3060.0
15419,2981.262,,2964.0
15420,2874.5618,,2899.0
15421,2892.9417,,2848.0
15422,2835.4617,,2839.0
15423,2879.1707,,2898.0
15424,3050.2107,,3174.0
15425,3400.6616,,3533.0
15426,3695.9417,,3625.0
15427,3657.0884,,3630.0
15428,3603.4602,,3602.0
15429,3539.4324,,3500.0
15430,3362.087,,3293.0
15431,3097.9011,,3093.0
15432,2971.4377,,2843.0
15433,2748.5298,,2697.0
15434,2646.5361,,2624.0
15435,2564.829,,2578.0
15436,2638.0493,,2597.0
15437,2683.5476,,2746.0
15438,3015.8347,,3103.0
15439,3484.3376,,3432.0
15440,3712.6091,,3679.0
15441,3843.423,,3684.0
15442,3639.813,,3552.0
15443,3391.0205,,3454.0
15444,3299.5784,,3348.0
15445,3419.3196,,3314.0
15446,3286.862,,3289.0
15447,3339.9346,,3341.0
15448,3527.078,,3605.0
15449,3861.6084,,3919.0002
15450,4006.4038,,3982.0002
15451,3950.2456,,3958.0
15452,3909.8381,,3908.0
15453,3777.4539,,3762.0
15454,3579.068,,3534.0
15455,3327.87,,3293.0
15456,3083.264,,3006.0
15457,2848.9648,,2834.0
