2022/5/23 5:40 UPDATE,,
,,
DATE,TIME,���(��kW)
2022/1/14,17:00,4812
2022/1/14,18:00,4806
2022/1/14,19:00,4697
2022/1/14,20:00,4564
2022/1/14,21:00,4343
2022/1/14,22:00,4087
2022/1/14,23:00,3822
2022/1/15,0:00,3525
2022/1/15,1:00,3332
2022/1/15,2:00,3239
2022/1/15,3:00,3177
2022/1/15,4:00,3168
2022/1/15,5:00,3284
2022/1/15,6:00,3575
2022/1/15,7:00,3883
2022/1/15,8:00,4077
2022/1/15,9:00,4121
2022/1/15,10:00,4091
2022/1/15,11:00,3977
2022/1/15,12:00,3792
2022/1/15,13:00,3708
2022/1/15,14:00,3596
2022/1/15,15:00,3611
2022/1/15,16:00,3824
2022/1/15,17:00,4121
2022/1/15,18:00,4188
2022/1/15,19:00,4152
2022/1/15,20:00,4070
2022/1/15,21:00,3897
2022/1/15,22:00,3686
2022/1/15,23:00,3495
2022/1/16,0:00,3276
2022/1/16,1:00,3151
2022/1/16,2:00,3057
2022/1/16,3:00,3009
2022/1/16,4:00,3009
2022/1/16,5:00,3087
2022/1/16,6:00,3315
2022/1/16,7:00,3595
2022/1/16,8:00,3739
2022/1/16,9:00,3733
2022/1/16,10:00,3593
2022/1/16,11:00,3454
2022/1/16,12:00,3357
2022/1/16,13:00,3263
2022/1/16,14:00,3215
2022/1/16,15:00,3268
2022/1/16,16:00,3475
2022/1/16,17:00,3857
2022/1/16,18:00,3998
2022/1/16,19:00,4010
2022/1/16,20:00,3953
2022/1/16,21:00,3806
2022/1/16,22:00,3556
2022/1/16,23:00,3361
2022/1/17,0:00,3116
2022/1/17,1:00,2995
2022/1/17,2:00,2947
2022/1/17,3:00,2936
2022/1/17,4:00,3007
2022/1/17,5:00,3274
2022/1/17,6:00,3813
2022/1/17,7:00,4280
2022/1/17,8:00,4585
2022/1/17,9:00,4693
2022/1/17,10:00,4558
2022/1/17,11:00,4421
2022/1/17,12:00,4194
2022/1/17,13:00,4249
2022/1/17,14:00,4214
2022/1/17,15:00,4232
2022/1/17,16:00,4395
2022/1/17,17:00,4575
2022/1/17,18:00,4560
2022/1/17,19:00,4448
2022/1/17,20:00,4313
2022/1/17,21:00,4102
2022/1/17,22:00,3849
2022/1/17,23:00,3593
2022/1/18,0:00,3293
2022/1/18,1:00,3148
2022/1/18,2:00,3089
2022/1/18,3:00,3068
2022/1/18,4:00,3127
2022/1/18,5:00,3376
2022/1/18,6:00,3907
2022/1/18,7:00,4317
2022/1/18,8:00,4571
2022/1/18,9:00,4632
2022/1/18,10:00,4519
2022/1/18,11:00,4422
2022/1/18,12:00,4217
2022/1/18,13:00,4264
2022/1/18,14:00,4265
2022/1/18,15:00,4356
2022/1/18,16:00,4606
2022/1/18,17:00,4849
2022/1/18,18:00,4870
2022/1/18,19:00,4766
2022/1/18,20:00,4637
2022/1/18,21:00,4407
2022/1/18,22:00,4115
2022/1/18,23:00,3831
2022/1/19,0:00,3511
2022/1/19,1:00,3346
2022/1/19,2:00,3277
2022/1/19,3:00,3248
2022/1/19,4:00,3282
2022/1/19,5:00,3526
2022/1/19,6:00,4068
2022/1/19,7:00,4501
2022/1/19,8:00,4748
2022/1/19,9:00,4787
2022/1/19,10:00,4667
2022/1/19,11:00,4582
2022/1/19,12:00,4406
2022/1/19,13:00,4467
2022/1/19,14:00,4407
2022/1/19,15:00,4442
2022/1/19,16:00,4607
2022/1/19,17:00,4794
2022/1/19,18:00,4806
2022/1/19,19:00,4710
2022/1/19,20:00,4590
2022/1/19,21:00,4381
2022/1/19,22:00,4103
2022/1/19,23:00,3821
2022/1/20,0:00,3502
2022/1/20,1:00,3345
2022/1/20,2:00,3285
2022/1/20,3:00,3260
2022/1/20,4:00,3319
2022/1/20,5:00,3584
2022/1/20,6:00,4122
2022/1/20,7:00,4558
2022/1/20,8:00,4841
2022/1/20,9:00,4918
2022/1/20,10:00,4745
2022/1/20,11:00,4600
2022/1/20,12:00,4408
2022/1/20,13:00,4410
2022/1/20,14:00,4336
2022/1/20,15:00,4375
2022/1/20,16:00,4612
2022/1/20,17:00,4852
2022/1/20,18:00,4877
2022/1/20,19:00,4779
2022/1/20,20:00,4645
2022/1/20,21:00,4424
2022/1/20,22:00,4124
2022/1/20,23:00,3841
2022/1/21,0:00,3524
2022/1/21,1:00,3363
2022/1/21,2:00,3291
2022/1/21,3:00,3260
2022/1/21,4:00,3310
2022/1/21,5:00,3568
2022/1/21,6:00,4106
2022/1/21,7:00,4532
2022/1/21,8:00,4791
2022/1/21,9:00,4840
2022/1/21,10:00,4723
2022/1/21,11:00,4608
2022/1/21,12:00,4421
2022/1/21,13:00,4450
2022/1/21,14:00,4425
2022/1/21,15:00,4495
2022/1/21,16:00,4740
2022/1/21,17:00,4974
2022/1/21,18:00,4992
2022/1/21,19:00,4889
2022/1/21,20:00,4745
2022/1/21,21:00,4503
2022/1/21,22:00,4226
2022/1/21,23:00,3967
2022/1/22,0:00,3654
2022/1/22,1:00,3455
2022/1/22,2:00,3351
2022/1/22,3:00,3290
2022/1/22,4:00,3282
2022/1/22,5:00,3394
2022/1/22,6:00,3690
2022/1/22,7:00,4011
2022/1/22,8:00,4192
2022/1/22,9:00,4183
2022/1/22,10:00,4010
2022/1/22,11:00,3862
2022/1/22,12:00,3702
2022/1/22,13:00,3610
2022/1/22,14:00,3527
2022/1/22,15:00,3562
2022/1/22,16:00,3774
2022/1/22,17:00,4112
2022/1/22,18:00,4230
2022/1/22,19:00,4209
2022/1/22,20:00,4123
2022/1/22,21:00,3934
2022/1/22,22:00,3710
2022/1/22,23:00,3510
2022/1/23,0:00,3257
2022/1/23,1:00,3106
2022/1/23,2:00,3030
2022/1/23,3:00,2980
2022/1/23,4:00,2963
2022/1/23,5:00,3042
2022/1/23,6:00,3259
2022/1/23,7:00,3547
2022/1/23,8:00,3860
2022/1/23,9:00,4019
2022/1/23,10:00,3927
2022/1/23,11:00,3864
2022/1/23,12:00,3823
2022/1/23,13:00,3750
2022/1/23,14:00,3687
2022/1/23,15:00,3708
2022/1/23,16:00,3892
2022/1/23,17:00,4167
2022/1/23,18:00,4219
2022/1/23,19:00,4148
2022/1/23,20:00,4029
2022/1/23,21:00,3807
2022/1/23,22:00,3522
2022/1/23,23:00,3287
2022/1/24,0:00,3027
2022/1/24,1:00,2911
2022/1/24,2:00,2869
2022/1/24,3:00,2851
2022/1/24,4:00,2905
2022/1/24,5:00,3137
2022/1/24,6:00,3617
2022/1/24,7:00,4084
2022/1/24,8:00,4477
2022/1/24,9:00,4659
2022/1/24,10:00,4557
2022/1/24,11:00,4487
2022/1/24,12:00,4316
2022/1/24,13:00,4286
2022/1/24,14:00,4170
2022/1/24,15:00,4167
2022/1/24,16:00,4327
2022/1/24,17:00,4552
2022/1/24,18:00,4597
2022/1/24,19:00,4507
2022/1/24,20:00,4378
2022/1/24,21:00,4158
2022/1/24,22:00,3907
2022/1/24,23:00,3655
2022/1/25,0:00,3365
2022/1/25,1:00,3230
2022/1/25,2:00,3185
2022/1/25,3:00,3168
2022/1/25,4:00,3226
2022/1/25,5:00,3474
2022/1/25,6:00,3998
2022/1/25,7:00,4422
2022/1/25,8:00,4682
2022/1/25,9:00,4743
2022/1/25,10:00,4689
2022/1/25,11:00,4589
2022/1/25,12:00,4387
2022/1/25,13:00,4470
2022/1/25,14:00,4410
2022/1/25,15:00,4389
2022/1/25,16:00,4544
2022/1/25,17:00,4714
2022/1/25,18:00,4674
2022/1/25,19:00,4535
2022/1/25,20:00,4364
2022/1/25,21:00,4116
2022/1/25,22:00,3824
2022/1/25,23:00,3539
2022/1/26,0:00,3234
2022/1/26,1:00,3083
2022/1/26,2:00,3028
2022/1/26,3:00,3005
2022/1/26,4:00,3059
2022/1/26,5:00,3263
2022/1/26,6:00,3707
2022/1/26,7:00,4208
2022/1/26,8:00,4714
2022/1/26,9:00,4898
2022/1/26,10:00,4767
2022/1/26,11:00,4612
2022/1/26,12:00,4298
2022/1/26,13:00,4280
2022/1/26,14:00,4218
2022/1/26,15:00,4180
2022/1/26,16:00,4296
2022/1/26,17:00,4481
2022/1/26,18:00,4505
2022/1/26,19:00,4393
2022/1/26,20:00,4271
2022/1/26,21:00,4051
2022/1/26,22:00,3808
2022/1/26,23:00,3551
2022/1/27,0:00,3275
2022/1/27,1:00,3137
2022/1/27,2:00,3093
2022/1/27,3:00,3079
2022/1/27,4:00,3134
2022/1/27,5:00,3363
2022/1/27,6:00,3836
2022/1/27,7:00,4216
2022/1/27,8:00,4519
2022/1/27,9:00,4611
2022/1/27,10:00,4509
2022/1/27,11:00,4375
2022/1/27,12:00,4127
2022/1/27,13:00,4156
2022/1/27,14:00,4105
2022/1/27,15:00,4159
2022/1/27,16:00,4324
2022/1/27,17:00,4536
2022/1/27,18:00,4536
2022/1/27,19:00,4416
2022/1/27,20:00,4260
2022/1/27,21:00,4023
2022/1/27,22:00,3737
2022/1/27,23:00,3463
2022/1/28,0:00,3162
2022/1/28,1:00,3031
2022/1/28,2:00,2990
2022/1/28,3:00,2977
2022/1/28,4:00,3031
2022/1/28,5:00,3247
2022/1/28,6:00,3704
2022/1/28,7:00,4127
2022/1/28,8:00,4470
2022/1/28,9:00,4552
2022/1/28,10:00,4429
2022/1/28,11:00,4319
2022/1/28,12:00,4111
2022/1/28,13:00,4133
2022/1/28,14:00,4097
2022/1/28,15:00,4108
2022/1/28,16:00,4253
2022/1/28,17:00,4409
2022/1/28,18:00,4407
2022/1/28,19:00,4302
2022/1/28,20:00,4164
2022/1/28,21:00,3957
2022/1/28,22:00,3745
2022/1/28,23:00,3530
2022/1/29,0:00,3281
2022/1/29,1:00,3146
2022/1/29,2:00,3075
2022/1/29,3:00,3025
2022/1/29,4:00,3009
2022/1/29,5:00,3091
2022/1/29,6:00,3330
2022/1/29,7:00,3615
2022/1/29,8:00,3938
2022/1/29,9:00,4029
2022/1/29,10:00,3953
2022/1/29,11:00,3830
2022/1/29,12:00,3698
2022/1/29,13:00,3580
2022/1/29,14:00,3503
2022/1/29,15:00,3491
2022/1/29,16:00,3624
2022/1/29,17:00,3924
2022/1/29,18:00,4031
2022/1/29,19:00,4001
2022/1/29,20:00,3924
2022/1/29,21:00,3750
2022/1/29,22:00,3553
2022/1/29,23:00,3373
2022/1/30,0:00,3152
2022/1/30,1:00,3028
2022/1/30,2:00,2960
2022/1/30,3:00,2917
2022/1/30,4:00,2902
2022/1/30,5:00,2966
2022/1/30,6:00,3161
2022/1/30,7:00,3400
2022/1/30,8:00,3591
2022/1/30,9:00,3714
2022/1/30,10:00,3614
2022/1/30,11:00,3639
2022/1/30,12:00,3700
2022/1/30,13:00,3520
2022/1/30,14:00,3540
2022/1/30,15:00,3578
2022/1/30,16:00,3749
2022/1/30,17:00,4061
2022/1/30,18:00,4173
2022/1/30,19:00,4145
2022/1/30,20:00,4048
2022/1/30,21:00,3846
2022/1/30,22:00,3575
2022/1/30,23:00,3359
2022/1/31,0:00,3121
2022/1/31,1:00,3008
2022/1/31,2:00,2971
2022/1/31,3:00,2964
2022/1/31,4:00,3023
2022/1/31,5:00,3276
2022/1/31,6:00,3805
2022/1/31,7:00,4254
2022/1/31,8:00,4515
2022/1/31,9:00,4591
