0,1
2017/12/11,晴
2017/12/12,晴
2017/12/13,0
2017/12/14,0
2017/12/15,曇
2017/12/16,晴
2017/12/17,0
2017/12/18,0
2017/12/19,0
2017/12/20,0
2017/12/21,0
2017/12/22,晴
2017/12/23,晴
2017/12/24,曇
2017/12/25,0
2017/12/26,0
2017/12/27,0
2017/12/28,0
2017/12/29,0
2017/12/30,0
2017/12/31,曇
