0,1,2,3
2016/11/3,0,8,1
2016/11/4,晴,8,1
2016/11/5,晴,8,1
2016/11/6,0,8,1
2016/11/7,0,8,1
2016/11/8,曇,8,1
2016/11/9,晴,8,1
2016/11/10,0.5,8,1
2016/11/11,1.0,8,1
2016/11/12,晴,8,1
2016/11/13,晴,8,1
2016/11/14,曇,8,1
2016/11/15,0.5,8,1
2016/11/16,0.5,8,1
2016/11/17,晴,8,1
2016/11/18,晴,8,1
2016/11/19,雨,8,1
2016/11/20,薄曇,8,1
2016/11/21,曇,8,1
2016/11/22,晴,8,1
2016/11/23,曇,8,1
2016/11/24,みぞれ,8,1
2016/11/25,晴,8,1
2016/11/26,0.25,8,1
2016/11/27,曇,8,1
2016/11/28,薄曇,8,1
2016/11/29,晴,8,1
2016/11/30,曇,8,1
2016/12/1,0.75,8,1
2016/12/2,晴,8,1
2016/12/3,晴,8,1
2016/12/4,薄曇,8,1
2016/12/5,薄曇,8,1
2016/12/6,0,8,1
2016/12/7,曇,8,1
2016/12/8,晴,8,1
2016/12/9,0,8,1
2016/12/10,0,8,1
2016/12/11,0,8,1
2016/12/12,薄曇,8,1
2016/12/13,曇,8,1
2016/12/14,雨,8,1
2016/12/15,晴,8,1
2016/12/16,0,8,1
2016/12/17,0,8,1
2016/12/18,0,8,1
2016/12/19,0.25,8,1
2016/12/20,0.25,8,1
2016/12/21,晴,8,1
2016/12/22,曇,8,1
2016/12/23,晴,8,1
2016/12/24,0,8,1
2016/12/25,0.25,8,1
2016/12/26,0.5,8,1
2016/12/27,曇,8,1
2016/12/28,0,8,1
2016/12/29,0.75,8,1
2016/12/30,0,8,1
2016/12/31,0,8,1
