0,1
2018/6/10,雨
2018/6/11,1.0
2018/6/12,0.5
2018/6/13,曇
2018/6/14,0.5
2018/6/15,雨
2018/6/16,曇
2018/6/17,0.5
2018/6/18,曇
2018/6/19,曇
2018/6/20,1.0
2018/6/21,0.5
2018/6/22,薄曇
2018/6/23,0.75
2018/6/24,雨
2018/6/25,0
2018/6/26,0.25
2018/6/27,0.25
2018/6/28,曇
2018/6/29,0
2018/6/30,0.25
2018/7/1,0
2018/7/2,0
2018/7/3,薄曇
2018/7/4,曇
2018/7/5,雨
2018/7/6,雨
2018/7/7,0.5
2018/7/8,薄曇
2018/7/9,晴
2018/7/10,晴
2018/7/11,薄曇
2018/7/12,曇
2018/7/13,薄曇
2018/7/14,晴
2018/7/15,0
2018/7/16,薄曇
2018/7/17,薄曇
2018/7/18,0
2018/7/19,0.25
2018/7/20,0
2018/7/21,0.25
2018/7/22,薄曇
2018/7/23,薄曇
2018/7/24,晴
2018/7/25,0.5
2018/7/26,曇
2018/7/27,0.25
2018/7/28,大雨
2018/7/29,晴
2018/7/30,曇
2018/7/31,晴
2018/8/1,0
2018/8/2,0.25
2018/8/3,0
2018/8/4,晴
2018/8/5,0
2018/8/6,曇
2018/8/7,雨
2018/8/8,1.0
2018/8/9,曇
2018/8/10,晴
2018/8/11,曇
2018/8/12,0.5
2018/8/13,晴
2018/8/14,薄曇
2018/8/15,薄曇
2018/8/16,薄曇
2018/8/17,0
2018/8/18,薄曇
2018/8/19,薄曇
2018/8/20,曇
2018/8/21,0.25
2018/8/22,0
2018/8/23,0.25
2018/8/24,0.75
2018/8/25,0
2018/8/26,0
2018/8/27,晴
2018/8/28,0.5
2018/8/29,0.5
2018/8/30,0.25
2018/8/31,薄曇
2018/9/1,曇
2018/9/2,0.75
2018/9/3,雨
2018/9/4,曇
2018/9/5,晴
2018/9/6,曇
2018/9/7,曇
2018/9/8,晴
2018/9/9,晴
2018/9/10,曇
2018/9/11,0.5
2018/9/12,0.5
2018/9/13,曇
2018/9/14,曇
2018/9/15,雨
2018/9/16,0.25
2018/9/17,曇
2018/9/18,晴
2018/9/19,0
2018/9/20,雨
2018/9/21,1.0
2018/9/22,曇
2018/9/23,曇
2018/9/24,曇
2018/9/25,雨
2018/9/26,曇
2018/9/27,雨
2018/9/28,0
2018/9/29,雨
2018/9/30,雨
2018/10/1,晴
2018/10/2,0
2018/10/3,0.5
2018/10/4,曇
2018/10/5,1.0
2018/10/6,晴
2018/10/7,0
2018/10/8,曇
2018/10/9,晴
2018/10/10,薄曇
2018/10/11,0.5
2018/10/12,曇
2018/10/13,0.5
2018/10/14,曇
2018/10/15,曇
2018/10/16,薄曇
2018/10/17,曇
2018/10/18,晴
2018/10/19,曇
2018/10/20,晴
2018/10/21,0
2018/10/22,0
2018/10/23,曇
2018/10/24,0.25
2018/10/25,0
2018/10/26,曇
2018/10/27,曇
2018/10/28,0.25
2018/10/29,0
2018/10/30,0
2018/10/31,薄曇
2018/11/1,0
2018/11/2,0
2018/11/3,晴
2018/11/4,0.75
2018/11/5,曇
2018/11/6,0.75
2018/11/7,晴
2018/11/8,晴
2018/11/9,雨
2018/11/10,晴
2018/11/11,0
2018/11/12,曇
2018/11/13,0.5
2018/11/14,0
2018/11/15,0
2018/11/16,0.25
2018/11/17,晴
2018/11/18,0.5
2018/11/19,曇
2018/11/20,晴
2018/11/21,晴
2018/11/22,曇
2018/11/23,0
2018/11/24,曇
2018/11/25,0.25
2018/11/26,薄曇
2018/11/27,0.25
2018/11/28,0.25
2018/11/29,曇
2018/11/30,晴
2018/12/1,晴
2018/12/2,0.5
2018/12/3,0.5
2018/12/4,0.25
2018/12/5,曇
2018/12/6,0.75
2018/12/7,0.5
2018/12/8,0.25
2018/12/9,0.25
2018/12/10,0.25
2018/12/11,曇
2018/12/12,0.75
2018/12/13,曇
2018/12/14,0
2018/12/15,0
2018/12/16,曇
2018/12/17,雨
2018/12/18,0
2018/12/19,0
2018/12/20,薄曇
2018/12/21,0
2018/12/22,晴
2018/12/23,曇
2018/12/24,0
2018/12/25,薄曇
2018/12/26,薄曇
2018/12/27,0.25
2018/12/28,0
2018/12/29,0
2018/12/30,0
2018/12/31,晴
