ダウンロードした時刻：2021/06/15 12:42:07

,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号
2017/9/14,曇時々晴,8,1
2017/9/15,薄曇,8,1
2017/9/16,曇時々雨,8,1
2017/9/17,雨,8,1
2017/9/18,晴,8,1
2017/9/19,薄曇時々晴,8,1
2017/9/20,曇,8,1
2017/9/21,晴時々曇,8,1
2017/9/22,曇後雨,8,1
2017/9/23,曇一時雨,8,1
2017/9/24,曇一時晴,8,1
2017/9/25,晴時々曇,8,1
2017/9/26,晴一時曇,8,1
2017/9/27,曇,8,1
2017/9/28,曇時々雨,8,1
2017/9/29,晴,8,1
2017/9/30,曇後一時晴,8,1
2017/10/1,晴後曇,8,1
2017/10/2,曇,8,1
2017/10/3,曇時々晴,8,1
2017/10/4,曇一時雨,8,1
2017/10/5,曇後一時晴,8,1
2017/10/6,曇後雨,8,1
2017/10/7,雨後曇一時晴,8,1
2017/10/8,曇時々晴,8,1
2017/10/9,晴一時薄曇,8,1
2017/10/10,晴,8,1
2017/10/11,曇一時晴,8,1
2017/10/12,晴後時々薄曇,8,1
2017/10/13,雨,8,1
2017/10/14,雨時々曇,8,1
2017/10/15,雨,8,1
2017/10/16,雨,8,1
2017/10/17,雨後曇,8,1
2017/10/18,晴後曇,8,1
2017/10/19,大雨,8,1
2017/10/20,雨後時々曇,8,1
2017/10/21,雨,8,1
2017/10/22,大雨,8,1
2017/10/23,曇一時雨後晴,8,1
2017/10/24,曇,8,1
2017/10/25,雨後一時曇,8,1
2017/10/26,快晴,8,1
2017/10/27,晴,8,1
2017/10/28,雨時々曇,8,1
2017/10/29,大雨、雷を伴う,8,1
2017/10/30,快晴,8,1
2017/10/31,曇時々晴,8,1
2017/11/1,晴一時曇,8,1
2017/11/2,薄曇一時晴,8,1
2017/11/3,晴一時曇,8,1
2017/11/4,晴時々曇後一時雨,8,1
2017/11/5,快晴,8,1
2017/11/6,快晴,8,1
2017/11/7,晴後一時薄曇,8,1
2017/11/8,雨後曇,8,1
2017/11/9,快晴,8,1
2017/11/10,晴時々曇,8,1
2017/11/11,晴時々曇,8,1
2017/11/12,晴,8,1
2017/11/13,曇時々晴,8,1
2017/11/14,曇後雨,8,1
2017/11/15,曇後時々晴,8,1
2017/11/16,晴後一時曇,8,1
2017/11/17,晴後一時薄曇,8,1
2017/11/18,雨時々曇,8,1
2017/11/19,晴一時曇,8,1
2017/11/20,曇後時々晴,8,1
2017/11/21,快晴,8,1
2017/11/22,曇後一時雨,8,1
2017/11/23,雨後晴,8,1
2017/11/24,晴時々曇後一時雨,8,1
2017/11/25,晴後時々薄曇,8,1
2017/11/26,晴後一時曇,8,1
2017/11/27,晴後曇,8,1
2017/11/28,曇,8,1
2017/11/29,晴,8,1
2017/11/30,曇時々雨,8,1
2017/12/1,曇時々雨,8,1
2017/12/2,晴,8,1
2017/12/3,晴,8,1
2017/12/4,曇一時晴,8,1
2017/12/5,晴,8,1
2017/12/6,快晴,8,1
2017/12/7,晴,8,1
2017/12/8,曇後一時雨,8,1
2017/12/9,快晴,8,1
2017/12/10,晴一時薄曇,8,1
2017/12/11,晴一時曇,8,1
2017/12/12,晴後一時薄曇,8,1
2017/12/13,晴,8,1
2017/12/14,快晴,8,1
2017/12/15,曇後一時晴,8,1
2017/12/16,晴時々曇,8,1
2017/12/17,晴,8,1
2017/12/18,晴,8,1
2017/12/19,快晴,8,1
2017/12/20,晴,8,1
2017/12/21,晴,8,1
2017/12/22,晴一時曇,8,1
2017/12/23,晴後時々薄曇,8,1
2017/12/24,曇後一時晴,8,1
2017/12/25,晴,8,1
2017/12/26,晴,8,1
2017/12/27,晴,8,1
2017/12/28,快晴,8,1
2017/12/29,晴,8,1
2017/12/30,快晴,8,1
2017/12/31,曇一時雪,8,1
